"ParticipantNum","density","NumAgents","FollowPercentage"
149,"LowDensity",3,38.7096774193548
150,"LowDensity",3,48.4848484848485
151,"LowDensity",3,47.2222222222222
152,"LowDensity",3,48.6486486486487
153,"LowDensity",3,71.4285714285714
154,"LowDensity",3,72.7272727272727
1,"LowDensity",4,58.8235294117647
2,"LowDensity",4,43.4782608695652
3,"LowDensity",4,93.3333333333333
4,"LowDensity",4,62.5
5,"LowDensity",4,51.5151515151515
6,"LowDensity",4,65.625
7,"LowDensity",4,57.6923076923077
8,"LowDensity",4,48.3870967741936
9,"LowDensity",4,55.8823529411765
10,"LowDensity",4,51.7241379310345
11,"LowDensity",4,100
12,"LowDensity",4,41.9354838709677
13,"LowDensity",4,62.8571428571429
14,"LowDensity",4,43.75
15,"LowDensity",4,95
16,"LowDensity",4,50
17,"LowDensity",4,51.7241379310345
18,"LowDensity",4,51.6129032258064
19,"LowDensity",4,36
20,"LowDensity",4,62.962962962963
21,"LowDensity",4,50
22,"LowDensity",4,52.7777777777778
23,"LowDensity",4,42.4242424242424
24,"LowDensity",4,75.7575757575758
25,"LowDensity",4,61.2903225806452
26,"LowDensity",4,53.8461538461538
27,"LowDensity",4,100
28,"LowDensity",4,57.1428571428571
29,"LowDensity",4,58.8235294117647
30,"LowDensity",4,53.3333333333333
31,"LowDensity",4,74.2857142857143
32,"LowDensity",4,50
33,"LowDensity",4,66.6666666666667
34,"LowDensity",4,64
35,"LowDensity",4,55
36,"LowDensity",4,50
37,"LowDensity",4,43.5897435897436
38,"LowDensity",4,55.5555555555556
39,"LowDensity",4,50
40,"LowDensity",4,56.6666666666667
41,"LowDensity",4,52.9411764705882
42,"LowDensity",4,71.875
43,"LowDensity",4,64.5161290322581
44,"LowDensity",4,52.3809523809524
45,"LowDensity",4,64
46,"LowDensity",4,53.125
47,"LowDensity",4,45.945945945946
48,"LowDensity",4,53.3333333333333
49,"LowDensity",4,79.4117647058823
50,"LowDensity",4,57.1428571428571
51,"LowDensity",4,37.5
52,"LowDensity",4,36.3636363636364
53,"LowDensity",4,100
54,"LowDensity",4,60.5263157894737
55,"LowDensity",4,56.7567567567568
56,"LowDensity",4,33.3333333333333
57,"LowDensity",4,44.1176470588235
58,"LowDensity",4,76.9230769230769
59,"LowDensity",4,54.8387096774194
60,"LowDensity",4,58.6206896551724
61,"LowDensity",4,57.1428571428571
