"ParticipantNum","density","NumAgents","RT"
74,"LowDensity",2,0.838116214285714
75,"LowDensity",2,0.714102066666667
76,"LowDensity",2,1.15692413636364
77,"LowDensity",2,1.42344588888889
78,"LowDensity",2,0.94282043902439
79,"LowDensity",2,1.0803067027027
80,"LowDensity",2,0.93814471875
81,"LowDensity",2,1.1594438
82,"LowDensity",2,0.914534121212121
83,"LowDensity",2,1.39993641176471
84,"LowDensity",2,1.60712513793103
85,"LowDensity",2,0.871161102564103
86,"LowDensity",2,0.964128580645161
87,"LowDensity",2,1.67699728125
88,"LowDensity",2,1.07218423333333
89,"LowDensity",2,1.49053246153846
90,"LowDensity",2,0.8451173
91,"LowDensity",2,1.01473455882353
92,"LowDensity",2,1.31984603571429
93,"LowDensity",2,0.862722911764706
94,"LowDensity",2,1.26448505882353
95,"LowDensity",2,0.79551128125
96,"LowDensity",2,0.758390684210526
97,"LowDensity",2,0.757829151515152
98,"LowDensity",2,1.34193534615385
99,"LowDensity",2,1.28088886666667
100,"LowDensity",2,0.9694325
101,"LowDensity",2,1.76644787179487
102,"LowDensity",2,0.833989055555556
103,"LowDensity",2,1.08652853333333
104,"LowDensity",2,1.03111008333333
105,"LowDensity",2,1.28165451162791
106,"LowDensity",2,1.76412442105263
107,"LowDensity",2,1.19214289655172
108,"LowDensity",2,2.6644575
109,"LowDensity",2,1.23465548648649
110,"LowDensity",2,1.66460538709677
111,"LowDensity",2,0.970772375
112,"LowDensity",2,0.747587741935484
113,"LowDensity",2,1.0921956
114,"LowDensity",2,1.60353048648649
115,"LowDensity",2,0.877390541666667
116,"LowDensity",2,1.54367137209302
117,"LowDensity",2,1.82233796296296
118,"LowDensity",2,1.31898278571429
119,"LowDensity",2,1.47367344444444
120,"LowDensity",2,1.6786956969697
121,"LowDensity",2,0.7307516
122,"LowDensity",2,1.32997758823529
123,"LowDensity",2,1.71681867857143
124,"LowDensity",2,1.71158155172414
125,"LowDensity",2,1.11964272727273
126,"LowDensity",2,1.79275147619048
127,"LowDensity",2,1.23531495
128,"LowDensity",2,1.40197923529412
129,"LowDensity",2,1.07594072727273
130,"LowDensity",2,1.11571518518519
131,"LowDensity",2,1.18612910810811
132,"LowDensity",2,1.86769404
133,"LowDensity",2,1.05266545454545
134,"LowDensity",2,1.60266878125
135,"LowDensity",2,1.00623094117647
136,"LowDensity",2,1.22187607894737
137,"LowDensity",2,0.762242875
138,"LowDensity",2,1.12140635483871
139,"LowDensity",2,0.949304233333333
140,"LowDensity",2,1.37726692
141,"LowDensity",2,0.840465903225806
142,"LowDensity",2,1.66311840625
143,"LowDensity",2,1.09714891666667
144,"LowDensity",2,1.20764575862069
145,"LowDensity",2,1.05571264705882
146,"LowDensity",2,0.9567193125
147,"LowDensity",2,1.57832902631579
148,"LowDensity",2,0.808377823529412
149,"LowDensity",2,1.27797245
150,"LowDensity",2,0.9828256875
151,"LowDensity",2,0.756106733333333
152,"LowDensity",2,1.08931531578947
153,"LowDensity",2,1.20366704
154,"LowDensity",2,1.0614055
1,"LowDensity",3,1.30759428125
2,"LowDensity",3,1.03010911538462
3,"LowDensity",3,1.21196170731707
4,"LowDensity",3,1.37153584615385
5,"LowDensity",3,0.870575388888889
6,"LowDensity",3,1.26977546875
7,"LowDensity",3,1.26909775862069
8,"LowDensity",3,1.13919068421053
9,"LowDensity",3,1.494933
10,"LowDensity",3,1.14233072972973
11,"LowDensity",3,1.4886688
12,"LowDensity",3,1.41262919354839
13,"LowDensity",3,1.22817636
14,"LowDensity",3,0.733974304347826
15,"LowDensity",3,1.33857695918367
16,"LowDensity",3,0.881686517241379
17,"LowDensity",3,1.03785997297297
18,"LowDensity",3,0.860745575757576
19,"LowDensity",3,1.26263655555556
20,"LowDensity",3,1.53997360526316
21,"LowDensity",3,1.02847765384615
22,"LowDensity",3,1.21110802941176
23,"LowDensity",3,1.28431803333333
24,"LowDensity",3,0.948881294117647
25,"LowDensity",3,1.61088741666667
26,"LowDensity",3,1.19067747058824
