"ParticipantNum","groupSize","NumAgents","FollowPercentage"
53,"SmallGroup",3,80
54,"SmallGroup",3,73.3333333333333
55,"SmallGroup",3,62.5
56,"SmallGroup",3,48.2758620689655
57,"SmallGroup",3,64.2857142857143
58,"SmallGroup",3,62.0689655172414
59,"SmallGroup",3,47.3684210526316
60,"SmallGroup",3,57.5757575757576
61,"SmallGroup",3,83.7837837837838
62,"SmallGroup",3,62.1621621621622
63,"SmallGroup",3,67.6470588235294
64,"SmallGroup",3,67.8571428571429
65,"SmallGroup",3,41.1764705882353
66,"SmallGroup",3,46.4285714285714
67,"SmallGroup",3,90
68,"SmallGroup",3,100
69,"SmallGroup",3,48.4848484848485
70,"SmallGroup",3,52.5
71,"SmallGroup",3,28.5714285714286
72,"SmallGroup",3,51.4285714285714
73,"SmallGroup",3,55.5555555555556
74,"SmallGroup",3,70.5882352941177
75,"SmallGroup",3,40.5405405405405
76,"SmallGroup",3,82.7586206896552
77,"SmallGroup",3,90.9090909090909
78,"SmallGroup",3,97.1428571428571
79,"SmallGroup",3,50
80,"SmallGroup",3,64.2857142857143
81,"SmallGroup",3,39.3939393939394
82,"SmallGroup",3,46.875
83,"SmallGroup",3,96.1538461538462
84,"SmallGroup",3,52
85,"SmallGroup",3,70.9677419354839
86,"SmallGroup",3,40.625
87,"SmallGroup",3,62.0689655172414
88,"SmallGroup",3,46.4285714285714
89,"SmallGroup",3,83.8709677419355
90,"SmallGroup",3,52.9411764705882
91,"SmallGroup",3,50
92,"SmallGroup",3,53.3333333333333
93,"SmallGroup",3,50
94,"SmallGroup",3,37.037037037037
95,"SmallGroup",3,55.1724137931034
96,"SmallGroup",3,43.3333333333333
97,"SmallGroup",3,46.1538461538462
98,"SmallGroup",3,84
99,"SmallGroup",3,66.6666666666667
100,"SmallGroup",3,55.8823529411765
101,"SmallGroup",3,48.1481481481481
102,"SmallGroup",3,63.6363636363636
103,"SmallGroup",3,61.9047619047619
104,"SmallGroup",3,63.3333333333333
105,"SmallGroup",3,57.1428571428571
106,"SmallGroup",3,51.4285714285714
107,"SmallGroup",3,40
108,"SmallGroup",3,83.8709677419355
109,"SmallGroup",3,61.7647058823529
110,"SmallGroup",3,61.2903225806452
111,"SmallGroup",3,38.2352941176471
112,"SmallGroup",3,59.2592592592593
113,"SmallGroup",3,74.1935483870968
114,"SmallGroup",3,50
115,"SmallGroup",3,48.2758620689655
116,"SmallGroup",3,58.0645161290323
117,"SmallGroup",3,86.9565217391304
118,"SmallGroup",3,65.625
119,"SmallGroup",3,62.5
120,"SmallGroup",3,60
121,"SmallGroup",3,50
122,"SmallGroup",3,67.741935483871
123,"SmallGroup",3,72.7272727272727
124,"SmallGroup",3,64.2857142857143
125,"SmallGroup",3,93.5483870967742
126,"SmallGroup",3,45.8333333333333
127,"SmallGroup",3,55.1724137931034
128,"SmallGroup",3,100
129,"SmallGroup",3,53.5714285714286
130,"SmallGroup",3,39.3939393939394
131,"SmallGroup",3,50
132,"SmallGroup",3,55.1724137931034
133,"SmallGroup",3,80.6451612903226
134,"SmallGroup",3,40
135,"SmallGroup",3,70.9677419354839
136,"SmallGroup",3,56.6666666666667
137,"SmallGroup",3,44.8275862068966
138,"SmallGroup",3,54.0540540540541
139,"SmallGroup",3,46.1538461538462
140,"SmallGroup",3,44.8275862068966
141,"SmallGroup",3,80.5555555555556
142,"SmallGroup",3,48.4848484848485
143,"SmallGroup",3,44.8275862068966
144,"SmallGroup",3,100
145,"SmallGroup",3,54.1666666666667
146,"SmallGroup",3,94.1176470588235
147,"SmallGroup",3,52.7777777777778
148,"SmallGroup",3,50
149,"SmallGroup",3,51.5151515151515
150,"SmallGroup",3,58.974358974359
151,"SmallGroup",3,39.2857142857143
152,"SmallGroup",3,65.5172413793103
153,"SmallGroup",3,63.3333333333333
154,"SmallGroup",3,44.1176470588235
1,"SmallGroup",4,68.75
2,"SmallGroup",4,61.7647058823529
3,"SmallGroup",4,50
